1377 東証1部 (株)サカタのタネ（水産・農林業）,,,,,
"2017-03-27","3480","3525","3475","3505","211200","3505"
"2017-03-28","3520","3545","3515","3540","134700","3540"
"2017-03-29","3570","3615","3545","3570","139900","3570"
"2017-03-30","3560","3560","3520","3555","141900","3555"
"2017-03-31","3565","3565","3485","3485","137100","3485"
"2017-04-03","3460","3600","3460","3585","230000","3585"
"2017-04-04","3625","3670","3550","3565","306600","3565"
"2017-04-05","3550","3595","3540","3565","138600","3565"
"2017-04-06","3545","3545","3465","3480","219800","3480"
"2017-04-07","3495","3535","3465","3475","296600","3475"
"2017-04-10","3505","3525","3350","3405","421000","3405"
"2017-04-11","3430","3435","3395","3435","191800","3435"
"2017-04-12","3470","3515","3450","3485","328400","3485"
"2017-04-13","3455","3460","3395","3440","201000","3440"
"2017-04-14","3440","3445","3350","3350","192800","3350"
"2017-04-17","3300","3375","3295","3375","234000","3375"
"2017-04-18","3415","3415","3335","3350","130900","3350"
"2017-04-19","3375","3395","3330","3355","142400","3355"
"2017-04-20","3350","3385","3345","3365","140300","3365"
"2017-04-21","3385","3445","3385","3430","195000","3430"
"2017-04-24","3485","3510","3470","3500","229200","3500"
"2017-04-25","3520","3580","3515","3555","257800","3555"
"2017-04-26","3620","3620","3545","3590","245300","3590"
"2017-04-27","3585","3585","3545","3565","106300","3565"
"2017-04-28","3545","3560","3500","3515","122300","3515"
"2017-05-01","3515","3525","3465","3490","157300","3490"
"2017-05-02","3500","3525","3380","3400","458000","3400"
"2017-05-08","3445","3455","3405","3455","301000","3455"
"2017-05-09","3455","3455","3410","3415","212100","3415"
"2017-05-10","3415","3425","3375","3380","242300","3380"
"2017-05-11","3395","3415","3380","3390","145700","3390"
"2017-05-12","3400","3445","3390","3425","306700","3425"
"2017-05-15","3425","3500","3425","3475","204500","3475"
"2017-05-16","3490","3490","3415","3430","196600","3430"
"2017-05-17","3435","3485","3430","3460","191000","3460"
"2017-05-18","3405","3450","3400","3425","147900","3425"
"2017-05-19","3450","3450","3380","3390","147800","3390"
"2017-05-22","3400","3440","3390","3425","144600","3425"
"2017-05-23","3450","3515","3445","3495","308900","3495"
"2017-05-24","3500","3515","3460","3485","177000","3485"
"2017-05-25","3500","3570","3495","3565","286400","3565"
"2017-05-26","3600","3635","3550","3565","665200","3565"
"2017-05-29","3555","3575","3485","3560","289700","3560"
"2017-05-30","3540","3560","3490","3550","184600","3550"
"2017-05-31","3540","3590","3530","3535","126700","3535"
"2017-06-01","3535","3580","3525","3570","149000","3570"
"2017-06-02","3570","3595","3550","3560","234000","3560"
"2017-06-05","3545","3570","3525","3560","129700","3560"
"2017-06-06","3575","3580","3530","3535","155500","3535"
"2017-06-07","3525","3535","3450","3460","206000","3460"
"2017-06-08","3460","3465","3420","3435","176300","3435"
"2017-06-09","3410","3430","3395","3395","163500","3395"
"2017-06-12","3405","3415","3365","3380","124800","3380"
"2017-06-13","3380","3425","3375","3415","88600","3415"
"2017-06-14","3450","3495","3420","3420","138400","3420"
"2017-06-15","3420","3445","3385","3400","114500","3400"
"2017-06-16","3425","3445","3395","3410","119300","3410"
"2017-06-19","3450","3470","3405","3470","147200","3470"
"2017-06-20","3460","3485","3450","3460","121800","3460"
"2017-06-21","3460","3510","3435","3495","157100","3495"
"2017-06-22","3500","3545","3500","3520","187500","3520"
"2017-06-23","3520","3535","3460","3470","121100","3470"
"2017-06-26","3490","3525","3480","3510","125100","3510"
"2017-06-27","3530","3620","3530","3550","238500","3550"
"2017-06-28","3550","3555","3485","3485","102900","3485"
"2017-06-29","3510","3520","3440","3505","125500","3505"
"2017-06-30","3470","3515","3460","3495","107400","3495"
"2017-07-03","3495","3555","3495","3530","95200","3530"
"2017-07-04","3555","3610","3550","3560","241400","3560"
"2017-07-05","3560","3610","3545","3590","205700","3590"
"2017-07-06","3620","3780","3615","3730","450700","3730"
"2017-07-07","3590","3645","3510","3560","762000","3560"
"2017-07-10","3585","3585","3480","3495","289900","3495"
"2017-07-11","3485","3490","3450","3485","151100","3485"
"2017-07-12","3530","3560","3505","3520","196200","3520"
"2017-07-13","3555","3555","3490","3550","184800","3550"
"2017-07-14","3480","3605","3425","3500","872000","3500"
"2017-07-18","3520","3665","3515","3655","616100","3655"
"2017-07-19","3645","3730","3570","3695","357100","3695"
"2017-07-20","3685","3705","3610","3615","127100","3615"
"2017-07-21","3615","3625","3565","3575","116900","3575"
"2017-07-24","3575","3605","3555","3600","92700","3600"
"2017-07-25","3590","3610","3560","3570","94300","3570"
"2017-07-26","3560","3580","3440","3440","442600","3440"
"2017-07-27","3440","3455","3380","3420","372700","3420"
"2017-07-28","3420","3460","3410","3430","143600","3430"
"2017-07-31","3410","3420","3360","3365","268400","3365"
"2017-08-01","3375","3415","3375","3400","220700","3400"
"2017-08-02","3385","3395","3360","3385","146600","3385"
"2017-08-03","3390","3400","3345","3355","166300","3355"
"2017-08-04","3340","3395","3335","3360","152800","3360"
"2017-08-07","3360","3360","3295","3320","235200","3320"
"2017-08-08","3345","3375","3325","3340","181000","3340"
"2017-08-09","3320","3345","3285","3335","175600","3335"
"2017-08-10","3350","3380","3315","3345","144400","3345"
"2017-08-14","3350","3370","3305","3310","134600","3310"
"2017-08-15","3330","3335","3305","3325","156200","3325"
"2017-08-16","3330","3380","3320","3360","171600","3360"
"2017-08-17","3360","3370","3310","3360","198800","3360"
"2017-08-18","3325","3365","3275","3355","226200","3355"
"2017-08-21","3370","3460","3360","3445","305400","3445"
"2017-08-22","3455","3460","3400","3420","140200","3420"
"2017-08-23","3415","3445","3395","3420","160600","3420"
"2017-08-24","3430","3505","3425","3470","225900","3470"
"2017-08-25","3465","3470","3410","3450","114700","3450"
"2017-08-28","3460","3470","3410","3440","121400","3440"
"2017-08-29","3415","3465","3405","3455","123800","3455"
"2017-08-30","3465","3465","3420","3445","94400","3445"
"2017-08-31","3410","3425","3405","3410","136800","3410"
"2017-09-01","3430","3450","3380","3445","142200","3445"
"2017-09-04","3445","3480","3395","3440","129600","3440"
"2017-09-05","3440","3440","3350","3360","148300","3360"
"2017-09-06","3385","3410","3340","3385","142100","3385"
"2017-09-07","3385","3395","3350","3355","136500","3355"
"2017-09-08","3305","3335","3215","3230","361400","3230"
"2017-09-11","3210","3220","3170","3190","498600","3190"
"2017-09-12","3185","3225","3175","3215","254300","3215"
"2017-09-13","3220","3230","3180","3215","267900","3215"
"2017-09-14","3215","3265","3210","3215","163600","3215"
"2017-09-15","3220","3225","3195","3225","143000","3225"
"2017-09-19","3225","3230","3115","3170","431900","3170"
"2017-09-20","3160","3175","3115","3130","280500","3130"
"2017-09-21","3125","3160","3120","3135","325000","3135"
"2017-09-22","3155","3170","3115","3120","186900","3120"
"2017-09-25","3135","3165","3110","3160","280900","3160"
"2017-09-26","3185","3185","3130","3140","154500","3140"
"2017-09-27","3145","3155","3110","3130","204800","3130"
"2017-09-28","3130","3155","3115","3150","169400","3150"
"2017-09-29","3140","3215","3140","3200","202800","3200"
"2017-10-02","3200","3210","3170","3170","119200","3170"
"2017-10-03","3220","3280","3210","3270","344300","3270"
"2017-10-04","3285","3370","3285","3340","428900","3340"
"2017-10-05","3355","3355","3275","3295","228500","3295"
"2017-10-06","3315","3350","3305","3320","257200","3320"
"2017-10-10","3300","3430","3290","3390","608900","3390"
"2017-10-11","3410","3530","3410","3480","527800","3480"
"2017-10-12","3505","3570","3505","3560","401800","3560"
"2017-10-13","3560","3630","3555","3620","467700","3620"
"2017-10-16","3580","3610","3540","3570","245100","3570"
"2017-10-17","3540","3565","3510","3565","173900","3565"
"2017-10-18","3535","3565","3535","3560","106900","3560"
"2017-10-19","3540","3570","3515","3560","136300","3560"
"2017-10-20","3530","3570","3515","3555","140300","3555"
"2017-10-23","3600","3620","3580","3605","167900","3605"
"2017-10-24","3580","3620","3575","3595","116500","3595"
"2017-10-25","3585","3590","3545","3560","103600","3560"
"2017-10-26","3535","3555","3525","3530","122600","3530"
"2017-10-27","3515","3520","3485","3510","202300","3510"
"2017-10-30","3480","3485","3455","3455","250000","3455"
"2017-10-31","3445","3455","3415","3425","279700","3425"
"2017-11-01","3430","3495","3420","3485","249700","3485"
"2017-11-02","3515","3545","3505","3520","163500","3520"
"2017-11-06","3500","3550","3490","3545","155100","3545"
"2017-11-07","3555","3610","3525","3610","230800","3610"
"2017-11-08","3610","3680","3605","3675","198800","3675"
"2017-11-09","3685","3700","3615","3640","191800","3640"
"2017-11-10","3580","3580","3535","3570","206800","3570"
"2017-11-13","3570","3605","3570","3595","83900","3595"
"2017-11-15","3590","3605","3550","3560","137000","3560"
"2017-11-16","3565","3635","3560","3615","145200","3615"
"2017-11-17","3630","3630","3585","3610","136200","3610"
"2017-11-20","3590","3685","3590","3675","141600","3675"
"2017-11-21","3665","3720","3640","3685","141400","3685"
"2017-11-22","3710","3710","3595","3595","136400","3595"
"2017-11-24","3585","3600","3555","3585","90800","3585"
"2017-11-27","3600","3650","3585","3640","165000","3640"
"2017-11-28","3610","3635","3575","3605","118100","3605"
"2017-11-29","3650","3715","3650","3690","182100","3690"
"2017-11-30","3690","3715","3670","3715","94300","3715"
"2017-12-01","3705","3755","3700","3740","134000","3740"
"2017-12-04","3735","3780","3735","3755","103200","3755"
"2017-12-05","3755","3800","3710","3785","116800","3785"
"2017-12-06","3780","3825","3770","3785","116500","3785"
"2017-12-07","3775","3875","3740","3865","144000","3865"
"2017-12-08","3845","3880","3810","3880","120000","3880"
"2017-12-11","3880","3930","3865","3925","92300","3925"
"2017-12-12","3950","3950","3875","3895","98100","3895"
"2017-12-13","3920","3920","3855","3905","90900","3905"
"2017-12-14","3975","3985","3880","3885","117400","3885"
"2017-12-15","3880","3985","3870","3955","151000","3955"
"2017-12-18","4000","4000","3950","3955","90800","3955"
"2017-12-19","3930","3980","3915","3945","79100","3945"
"2017-12-20","3930","3940","3910","3915","51600","3915"
"2017-12-21","3915","3940","3870","3930","93700","3930"
"2017-12-22","3920","3995","3920","3975","81800","3975"
"2017-12-25","3980","3980","3895","3940","111000","3940"
"2017-12-26","3940","3980","3910","3950","70200","3950"
"2017-12-27","3945","3950","3930","3940","46600","3940"
"2017-12-28","3915","3965","3885","3935","76500","3935"
"2017-12-29","3935","3935","3890","3910","67500","3910"
