1377 東証1部 (株)サカタのタネ（水産・農林業）,,,,,
"2016-06-24","2250","2258","2051","2096","271800","2096"
"2016-06-27","2135","2208","2135","2202","213300","2202"
"2016-06-28","2176","2251","2171","2245","127000","2245"
"2016-06-29","2288","2288","2236","2264","149700","2264"
"2016-06-30","2298","2298","2215","2217","129900","2217"
"2016-07-01","2248","2304","2234","2302","152400","2302"
"2016-07-04","2275","2288","2189","2241","317100","2241"
"2016-07-05","2191","2213","2162","2181","217200","2181"
"2016-07-06","2149","2192","2118","2191","192600","2191"
"2016-07-07","2188","2215","2165","2179","197800","2179"
"2016-07-08","2186","2201","2138","2142","108400","2142"
"2016-07-11","2190","2271","2182","2263","352800","2263"
"2016-07-12","2400","2514","2280","2343","851600","2343"
"2016-07-13","2460","2509","2448","2493","532100","2493"
"2016-07-14","2457","2486","2424","2430","350000","2430"
"2016-07-15","2430","2455","2374","2382","192900","2382"
"2016-07-19","2409","2436","2376","2435","145300","2435"
"2016-07-20","2435","2475","2412","2475","148100","2475"
"2016-07-21","2500","2575","2485","2498","246500","2498"
"2016-07-22","2510","2562","2500","2553","319500","2553"
"2016-07-25","2562","2655","2550","2622","509400","2622"
"2016-07-26","2630","2658","2572","2590","317300","2590"
"2016-07-27","2589","2608","2543","2561","209600","2561"
"2016-07-28","2521","2560","2511","2537","118800","2537"
"2016-07-29","2537","2545","2496","2538","115300","2538"
"2016-08-01","2532","2532","2472","2480","139700","2480"
"2016-08-02","2464","2516","2434","2441","148700","2441"
"2016-08-03","2409","2440","2390","2392","134600","2392"
"2016-08-04","2400","2405","2309","2314","206300","2314"
"2016-08-05","2314","2334","2306","2318","92200","2318"
"2016-08-08","2349","2361","2306","2321","108100","2321"
"2016-08-09","2313","2394","2306","2389","143000","2389"
"2016-08-10","2396","2418","2371","2388","90800","2388"
"2016-08-12","2424","2432","2388","2414","80700","2414"
"2016-08-15","2444","2445","2395","2405","68100","2405"
"2016-08-16","2426","2426","2336","2360","95800","2360"
"2016-08-17","2350","2426","2322","2422","162100","2422"
"2016-08-18","2386","2415","2341","2342","103000","2342"
"2016-08-19","2329","2337","2271","2302","118300","2302"
"2016-08-22","2301","2301","2221","2259","203300","2259"
"2016-08-23","2246","2297","2241","2288","138800","2288"
"2016-08-24","2296","2309","2256","2261","102600","2261"
"2016-08-25","2247","2261","2221","2243","110500","2243"
"2016-08-26","2245","2249","2200","2207","156500","2207"
"2016-08-29","2253","2275","2220","2236","81900","2236"
"2016-08-30","2220","2246","2194","2225","139700","2225"
"2016-08-31","2239","2300","2198","2291","229600","2291"
"2016-09-01","2320","2414","2310","2408","214100","2408"
"2016-09-02","2416","2508","2416","2474","315900","2474"
"2016-09-05","2485","2512","2455","2487","137500","2487"
"2016-09-06","2490","2533","2490","2519","121000","2519"
"2016-09-07","2515","2578","2497","2555","201800","2555"
"2016-09-08","2550","2580","2516","2522","173300","2522"
"2016-09-09","2522","2523","2465","2475","109200","2475"
"2016-09-12","2433","2495","2412","2489","74700","2489"
"2016-09-13","2500","2527","2450","2460","93400","2460"
"2016-09-14","2460","2476","2454","2457","58300","2457"
"2016-09-15","2453","2478","2441","2476","56500","2476"
"2016-09-16","2470","2519","2460","2517","118300","2517"
"2016-09-20","2500","2587","2480","2575","179600","2575"
"2016-09-21","2575","2597","2541","2594","135000","2594"
"2016-09-23","2598","2634","2588","2626","130200","2626"
"2016-09-26","2620","2629","2586","2589","97100","2589"
"2016-09-27","2584","2618","2559","2618","103000","2618"
"2016-09-28","2630","2669","2613","2656","139600","2656"
"2016-09-29","2669","2669","2620","2623","101400","2623"
"2016-09-30","2580","2580","2528","2551","178300","2551"
"2016-10-03","2569","2586","2546","2556","114100","2556"
"2016-10-04","2556","2566","2536","2558","148200","2558"
"2016-10-05","2550","2568","2509","2521","158200","2521"
"2016-10-06","2526","2578","2504","2573","170600","2573"
"2016-10-07","2600","2648","2591","2623","313500","2623"
"2016-10-11","2873","2896","2752","2801","1229500","2801"
"2016-10-12","2815","2928","2815","2900","744300","2900"
"2016-10-13","2910","2980","2905","2952","389900","2952"
"2016-10-17","2925","2963","2907","2956","190500","2956"
"2016-10-19","2967","3040","2952","3025","255700","3025"
"2016-10-20","3000","3015","2941","2984","238200","2984"
"2016-10-21","2984","3010","2964","2972","120100","2972"
"2016-10-24","2954","2979","2925","2974","209800","2974"
"2016-10-25","2972","3020","2972","3015","160900","3015"
"2016-10-26","3015","3050","3005","3030","165500","3030"
"2016-10-27","3005","3080","3005","3070","180200","3070"
"2016-10-28","3070","3080","3045","3055","170500","3055"
"2016-10-31","3055","3055","2990","3025","217900","3025"
"2016-11-01","3025","3070","3000","3065","147900","3065"
"2016-11-02","3050","3065","3035","3050","98300","3050"
"2016-11-04","3010","3025","2948","2958","244900","2958"
"2016-11-07","2955","2964","2917","2948","152800","2948"
"2016-11-08","2937","2938","2888","2921","188900","2921"
"2016-11-09","2950","2977","2823","2836","225700","2836"
"2016-11-10","3000","3045","2952","3010","229500","3010"
"2016-11-11","2985","2991","2917","2938","176100","2938"
"2016-11-14","2909","2923","2846","2866","244900","2866"
"2016-11-15","2845","2873","2814","2871","155300","2871"
"2016-11-16","2889","2904","2857","2896","97300","2896"
"2016-11-17","2885","2918","2877","2905","81700","2905"
"2016-11-18","2920","2923","2880","2892","135700","2892"
"2016-11-21","2912","2977","2901","2948","155100","2948"
"2016-11-22","2921","2947","2905","2943","201900","2943"
"2016-11-24","2958","2964","2905","2906","106800","2906"
"2016-11-25","2899","2899","2843","2872","158200","2872"
"2016-11-28","2848","2899","2848","2896","98800","2896"
"2016-11-29","2900","2963","2894","2954","143500","2954"
"2016-11-30","2958","3015","2925","2994","289600","2994"
"2016-12-01","3025","3025","2912","2931","310300","2931"
"2016-12-02","2911","2966","2881","2958","208000","2958"
"2016-12-05","3015","3110","3015","3060","729700","3060"
"2016-12-06","3100","3110","3065","3075","281100","3075"
"2016-12-07","3060","3060","2948","2971","337800","2971"
"2016-12-08","2970","2996","2931","2988","245700","2988"
"2016-12-09","2957","3095","2957","3080","301300","3080"
"2016-12-12","3065","3200","3050","3190","358400","3190"
"2016-12-13","3190","3350","3190","3320","343500","3320"
"2016-12-14","3310","3310","3230","3240","224500","3240"
"2016-12-15","3235","3265","3205","3255","115700","3255"
"2016-12-16","3265","3315","3260","3280","140100","3280"
"2016-12-19","3240","3255","3210","3255","127800","3255"
"2016-12-20","3240","3310","3235","3295","119600","3295"
"2016-12-21","3305","3320","3275","3305","113900","3305"
"2016-12-22","3325","3395","3310","3390","256500","3390"
"2016-12-26","3410","3420","3320","3330","158200","3330"
"2016-12-27","3330","3355","3295","3340","135800","3340"
"2016-12-28","3315","3330","3265","3280","200600","3280"
"2016-12-29","3265","3315","3265","3290","126500","3290"
"2016-12-30","3300","3320","3270","3305","90300","3305"
